tab	id	duration	status	published	title
videos	mttg7_b2SiI	1:18:13	OK	2023-09-17	శ్రీమద్భాగవతామృత ఝరి Day1
videos	NU89scNpWX8	2:19:38	OK	2023-09-15	RukminiKalyanam Harikatha Aug20 2023
videos	238DyFIzz3Y	1:49:04	OK	2023-09-15	Karmayogam Harikatha Sep3 2023
videos	7KxTUkSw5VE	2:08:28	OK	2023-09-02	SriRamaKathaVahini Day 4 of 7
videos	W3o2SGd_Pjo	1:39:59	OK	2023-08-12	శ్రీమద్భాగవతామృత ఝరి Day5 of 7
videos	Os_hWIc6WpM	2:03:14	OK	2023-03-24	"జ్ఞానపీఠ్ పురస్కార గ్రహీత, కవిసామ్రాట్ విశ్వనాథ వారి సాహిత్యము" శ్రీ అనంతాచార్యులు గారి ప్రసంగం
videos	td-MrwLmgRM	2:46:21	OK	2022-06-23	రామాయణ కథామృతము జూన్18 2022
videos	LenKBhovh9k	2:05:41	OK	2022-04-09	శ్రీరామ పట్టాభిషేకము హరికథ
videos	svMrLDt2mws	1:23:53	OK	2021-12-29	భాగవత సప్తాహ ప్రసంగలహరి ఆరవరోజు
videos	X4Hi86xe6gc	1:52:58	OK	2021-12-27	భాగవత సప్తాహ ప్రసంగలహరి నాల్గవరోజు
videos	fSOgN-pCbuY	1:30:51	OK	2021-12-26	భాగవత సప్తాహ ప్రసంగలహరి రెండవరోజు
videos	rAZIpTMB4Pk	1:37:06	OK	2021-12-24	భాగవత సప్తాహ ప్రసంగలహరి మొదటిరోజు
videos	6Vg9HJn-LOQ	1:24:22	OK	2021-07-21	IAVM presentation
videos	o3zpnY3VkCg	1:34:17	OK	2021-04-17	భాగవత ఔచిత్యము
videos	SlvWpliMj4A	7:08	OK	2021-04-02	Ekadhikena Purvena
videos	a2FPZyH2VQg	1:15:42	OK	2021-04-02	Medhavadhanam 2017
videos	Qp1nveUyChQ	30:18	OK	2021-03-30	Vedic Math Seminar Part 3 on Sep  25th 2014
videos	9f60lg0Ku8M	43:56	OK	2021-03-30	Vedic Math Seminar Part 2 on Sep  25th 2014
videos	8sl-wLo0yUs	40:43	OK	2021-03-30	Medhavadhanam 2014 Part 1 on Sep  25th 2014
videos	faXTRrv3-5E	2:33:27	OK	2021-03-14	Krishna Leelalu Harikatha 021321 7PM CST
videos	zxf8MMyAV0I	2:14:24	OK	2021-03-14	zoom presentation August 17th SuSri
videos	awJUjpCy5Us	1:42:30	OK	2021-03-14	Vedic Math Day02
videos	4f1ykupZErc	1:27:18	OK	2021-03-14	Vedic Math Day01
videos	73NMfRoDWbM	2:10:53	OK	2021-03-13	Ramayanamu JeevanaMulyaalu
streams	25QItDADXz8	1:15:06	OK	2025-08-17	Medhavadhanam 2025
streams	BENQ5mGLZB8	3:12:03	OK	2025-08-09	పుస్తకావిష్కరణ సమావేశము - శ్రీ వేంకటేశ శతకము
streams	lMbzciUgZz4	1:44:52	OK	2025-08-03	శ్రీ తులసీదాస చరిత్రము హరికథ
streams	xgrmmQx_1jU	2:02:25	OK	2025-07-31	శ్రీకృష్ణ పాండవీయం
streams	Y6sRG2lP4VI	2:33:36	OK	2025-07-27	శ్రీరామ పాదుకా పట్టాభిషేకము
streams	DCGIXQRC6MI	1:42:23	OK	2025-07-20	సుందర కాండము - Day 7
streams	cuZ1x7lVNMo	1:29:31	OK	2025-07-06	సుందర కాండము - Day 6
streams	aBqgiEqXC4M	1:43:31	OK	2025-07-05	సుందర కాండము - Day 5
streams	ACI36ciUw8s	1:33:11	OK	2025-06-29	సుందర కాండము - Day 4
streams	c67dRirIhl8	1:24:07	OK	2025-06-28	సుందర కాండము - Day 3
streams	yKicju0Ivps	1:34:07	OK	2025-06-22	సుందర కాండము - Day 2
streams	VLRZpo9EwAg	1:44:28	OK	2025-06-22	సుందర కాండము - Day 1
streams	6LSOQwwxFZk	2:37:15	OK	2024-08-26	సుందరకాండ హరికథ
streams	GkDvbKJMgsY	2:07:51	OK	2024-08-12	Bhakta Kuchela Harikatha
streams	nb_7RG7qvpc	2:00:11	OK	2024-08-11	Bhakta Potana Harikatha (భక్త పొతన హరికథ)
streams	H-XhKuychps	1:39:06	OK	2024-08-11	Medhavadhanam 2024
streams	K7PTfyhS6XA	1:49:19	OK	2024-08-05	Tripurasura Samharan
streams	bDqGIfxxbvk	1:33:59	OK	2023-09-10	Sri Rama KathaVahini - Day 7 of 7
streams	fotoEu5mUDs	2:07:43	OK	2023-09-09	Sri Rama KathaVahini - Day 6 of 7
streams	tk3xg4WKF9M	1:57:24	OK	2023-09-03	Sri Rama KathaVahini - Day 5 of 7
streams	tJVW__zIjLc	1:58:47	OK	2023-09-03	Gajendra Moksham Harikatha
streams	H7knChyHONE	2:27:10	OK	2023-08-29	Sundarakanda Harikatha
streams	c5h3VepSkQc	1:51:40	OK	2023-08-27	Sri Rama KathaVahini - Day 3 or 7
streams	SMyvl4rALvA	1:52:35	OK	2023-08-26	Sri Rama KathaVahini - Day 2 of 7
streams	pt4VdNMEWig	1:45:26	OK	2023-08-20	Sri Rama KathaVahini - Day 1 of 7
streams	0jLbJGitf0Y	56:07	OK	2023-08-19	Sri Bhagawataamruta Jhari - Day 7 of 7
streams	ADC2e3q8dB8	3:09:08	OK	2023-08-18	Tyagaraja Swami Charithra Harikatha
streams	F4-nVthG5rc	2:11:35	OK	2023-08-14	Vamana Charithra Harikatha
streams	oaH7PAGGUdQ	1:39:33	OK	2023-08-13	Sri Bhagawataamruta Jhari - Day 6 of 7
